year,longitude,latitude,ONI,sst,chlor_a,t2m_anomaly,loss_anual,loss_acum,treecover2000,gHM,fire_count,NDVI,EVI,LST_day,ET,precipitation,precip_anomaly,precip_extreme_days,NO2,NO2_source,CO,CO_source,SO2,SO2_source,cluster,gi_z,gi_p,hotspot_gi,coldspot_gi,multi_stress,region_analisis
2023,-115.99496117788952,14.934481568549554,1.2,27.538024825209085,,,,,0.0,,,,,,,,,,5.8919118680892685e-06,S5P,0.0268576850291183,S5P,-2.3946076596518413e-06,S5P,,,,,,,
2023,-115.77038235686165,14.934481568548671,1.2,27.5573835481608,,,,,0.0,,,,,,,,,,5.5613804433661725e-06,S5P,0.0268806865047621,S5P,3.2700107914777065e-05,S5P,,,,,,,
2023,-115.54580353583168,14.934481568547284,1.2,27.573598901098904,,,,,0.0,,,,,,,,,,5.310440181745934e-06,S5P,0.0271314120169465,S5P,3.659841396254618e-05,S5P,,,,,,,
2023,-115.32122471480332,14.93448156854696,1.2,27.58552197802198,,,,,0.0,,,,,,,,,,5.721723268622818e-06,S5P,0.0274080973561798,S5P,3.8549583722783176e-05,S5P,,,,,,,
2023,-115.09664589377196,14.934481568547945,1.2,27.592582417582417,,,,,0.0,,,,,,,,,,5.175613985886593e-06,S5P,0.0274247652352679,S5P,2.303341170140902e-05,S5P,,,,,,,
2023,-114.8720670727408,14.934481568544484,1.2,27.59651098901099,,,,,0.0,,,,,,,,,,5.331138569283074e-06,S5P,0.027085208165589,S5P,4.736273611675436e-05,S5P,,,,,,,
2023,-114.64748825171554,14.934481568543497,1.2,27.604258241758245,,,,,0.0,,,,,,,,,,6.015655185861675e-06,S5P,0.0274899229047383,S5P,4.220807394841001e-05,S5P,,,,,,,
2023,-114.4229094306846,14.934481568548206,1.2,27.61552197802198,,,,,0.0,,,,,,,,,,5.557773156706663e-06,S5P,0.0267056648959703,S5P,2.757165583038313e-05,S5P,,,,,,,
2023,-114.1983306096538,14.934481568544047,1.2,27.62730769230769,,,,,0.0,,,,,,,,,,6.116064090540778e-06,S5P,0.0272372674097014,S5P,3.821648631312505e-05,S5P,,,,,,,
2023,-113.97375178862616,14.934481568548616,1.2,27.629518090008865,,,,,0.0,,,,,,,,,,5.652465590724531e-06,S5P,0.0273878064623983,S5P,8.727002271802597e-06,S5P,,,,,,,
2023,-113.74917296759314,14.93448156854481,1.2,27.62388522253316,,,,,0.0,,,,,,,,,,5.163547552197513e-06,S5P,0.0275592894930376,S5P,4.839053968920193e-05,S5P,,,,,,,
2023,-113.524594146563,14.934481568549508,1.2,27.61336698419403,,,,,0.0,,,,,,,,,,6.431996114304598e-06,S5P,0.0277208482810381,S5P,4.291852717827606e-05,S5P,,,,,,,
