var1,var2,r,p_raw,n,p_bh,sig,|r|
EVI,t2m_anomaly,-0.1263706638220505,1.5097505834177931e-125,35287,2.8038225120616157e-125,True,0.1263706638220505
LST_day,precip_anomaly,-0.12587586025274528,3.1064289433356625e-125,35477,5.63491761814376e-125,True,0.12587586025274528
sst,NO2,-0.11886841634893795,6.124586030517819e-121,38430,1.0857220690463406e-120,True,0.11886841634893795
sst,CO,0.11041951244927165,1.5843931419336128e-104,38430,2.629418405762166e-104,True,0.11041951244927165
chlor_a,precip_anomaly,0.10900727339990189,1.4088984280878241e-05,1580,1.616089373394857e-05,True,0.10900727339990189
NDVI,precip_anomaly,0.1077051814041112,3.249751801234147e-92,35555,5.2808466770054886e-92,True,0.1077051814041112
precipitation,NO2,0.10604465208983962,1.0182145787086343e-90,36076,1.6208313701892545e-90,True,0.10604465208983962
chlor_a,t2m_anomaly,0.10395176422822117,0.00013085508261278473,1349,0.00014580994919710297,True,0.10395176422822117
sst,chlor_a,-0.09980258694775951,5.341234511779167e-57,25291,7.439576641406697e-57,True,0.09980258694775951
EVI,precip_anomaly,0.09897415076107285,4.2275518184892324e-78,35557,6.341327727733849e-78,True,0.09897415076107285
LST_day,t2m_anomaly,0.09230248047232754,1.4928701206250385e-67,35249,2.1970541397877924e-67,True,0.09230248047232754
EVI,SO2,-0.08542790526801809,1.2689058845777586e-58,35581,1.799539254492094e-58,True,0.08542790526801809
CO,SO2,0.08503228526976526,9.055513261933985e-116,72084,1.5355000748496757e-115,True,0.08503228526976526
gHM,t2m_anomaly,-0.08123917195697056,3.9133938853585307e-53,35556,5.355170579964305e-53,True,0.08123917195697056
NDVI,SO2,-0.07510403145999392,1.1192369591382421e-45,35579,1.505180738151429e-45,True,0.07510403145999392
chlor_a,ET,0.07225749040207566,0.09531057060984402,534,0.10046249334551127,False,0.07225749040207566
t2m_anomaly,SO2,-0.06157534736257132,2.298512652351108e-31,35730,2.9880664480564404e-31,True,0.06157534736257132
EVI,NO2,0.056908343128278575,6.4205959281425356e-27,35579,8.209942334346193e-27,True,0.056908343128278575
sst,LST_day,0.05469914281431589,0.017426903957855205,1889,0.01887914595434314,True,0.05469914281431589
chlor_a,gHM,0.051239689430188244,0.03684635951557341,1660,0.03937008277006474,True,0.051239689430188244
precip_anomaly,SO2,0.04849867796354865,3.0540029471919876e-20,36078,3.8421327400157264e-20,True,0.04849867796354865
precipitation,SO2,-0.04339764823787989,1.6291070577639748e-16,36078,2.0169896905649213e-16,True,0.04339764823787989
ET,SO2,-0.04009491292526396,8.920904341214687e-10,23340,1.0542886948708266e-09,True,0.04009491292526396
gHM,precip_anomaly,0.03930403852928132,8.982349499645069e-14,35952,1.0947238452692429e-13,True,0.03930403852928132
ET,NO2,0.038995615621043714,2.5304632261249745e-09,23340,2.945912412503702e-09,True,0.038995615621043714
precip_anomaly,NO2,0.03406462725774232,9.685425006222489e-11,36076,1.1622510007466986e-10,True,0.03406462725774232
sst,precip_anomaly,-0.02448331725105217,0.2276379705832763,2430,0.23674348940660736,False,0.02448331725105217
chlor_a,EVI,-0.024394563364354496,0.3886386880808277,1251,0.39368594377018906,False,0.024394563364354496
t2m_anomaly,NO2,-0.0222307518479582,2.6410455866781006e-05,35728,2.9855297936361137e-05,True,0.0222307518479582
chlor_a,NDVI,0.018205175199275277,0.5201855016075597,1250,0.5201855016075597,False,0.018205175199275277
gHM,SO2,0.014962691118991399,0.004415713868803527,36198,0.004851065940375706,True,0.014962691118991399
NDVI,NO2,-0.004761311620513854,0.36916115029074625,35577,0.3788759174036606,False,0.004761311620513854
