longitude,latitude,LST_day,NDVI,NO2,t2m_anomaly,gHM,fire_count,precipitation,SO2,CO,z_LST,z_NDVI,z_NO2,multi_stress,gi_z,gi_p,hotspot_gi,z_t2m
-88.82092383284355,14.70990292696136,301.0950045340831,0.7016724466992807,1.2697122611409324e-05,1.2178257236079286,0.3957956100676017,1.12532501300052,1275.756123304367,2.4259210934840032e-05,0.0269112898056398,-0.4692768211536816,1.1258593174569371,-0.5005535458262004,-2.451112320134924,-1.2929414595442696,0.001,False,-0.3554226356981048
-88.5963450118144,14.70990292696312,302.6138831856682,0.6825706710152804,1.1212232661779344e-05,1.3780736928146768,0.376510334267769,1.0,1235.4129257798195,5.868225377075972e-05,0.02699673458642,-0.12902222645500716,1.0402383680571117,-0.6414895778629424,-1.8413143922031088,-1.2352612322483432,0.001,False,-0.030564219828047547
-88.37176619078359,14.70990292696349,300.19401494563806,0.760504149302409,1.3437516187655525e-05,1.449302758136062,0.3247687868452717,1.2857142857142858,1286.4721921086311,6.631886155057772e-05,0.026292846682663,-0.6711137795730783,1.3895639235112938,-0.43028023512890934,-2.3771249376662227,-1.1027211718347456,0.001,False,0.11383300054705842
-88.14718736975752,14.709902926963316,302.4239099898826,0.706603448692395,1.4248377304446626e-05,1.563300645894104,0.270137659230333,1.3836687028386632,1331.9848615527153,5.173524905257181e-05,0.0295227367174249,-0.17157944632783384,1.1479618213878415,-0.35331860685342914,-1.327927700578976,-0.9612448907879069,0.001,False,0.34493217399012854
-87.92260854872212,14.709902926966713,299.761211145451,0.7566905659237778,1.0732927312279056e-05,1.384732747864044,0.3628698660862168,1.0849836158997008,1674.1285759210589,1.8415456957934805e-05,0.0262106595891076,-0.7680691758866738,1.3724700870588384,-0.6869821034938065,-2.844586194760333,-1.0205746669013642,0.001,False,-0.017064828321013987
-87.69802972769754,14.709902926960686,302.6217682948354,0.69562921422963,1.3086605871355173e-05,1.1924100972984226,0.2708770374495736,1.7526907582225963,1299.4888140559196,3.3055288904070624e-05,0.0280928950381236,-0.12725582818412343,1.0987714011262713,-0.46358634484596517,-2.096559359521336,-1.0477549105252437,0.001,False,-0.40694578536497605
-87.47345090666563,14.709902926963776,299.8062887954307,0.667827951923657,1.2287273530370337e-05,1.3199088647750188,0.2630536478730771,2.0776009582477752,1294.9446511268616,3.94195013614173e-05,0.0262712060323394,-0.7579710172827552,0.9741562599724161,-0.5394537372039748,-2.42005832853639,-1.1049708251440775,0.001,False,-0.1484773140772438
-87.24887208563304,14.709902926962483,303.2859010094567,0.6359277042942555,1.2817818842347908e-05,1.0920754547630598,0.241623277967955,1.8655066159144456,1110.5124447345734,1.3376251052779657e-05,0.0281490788796742,0.021521170823515293,0.8311680093875954,-0.48909784981686777,-1.909091198212352,-1.1342442066642646,0.001,False,-0.610346509831404
-87.02429326460474,14.709902926967665,301.4496080848165,0.5864268647701868,1.1541651618966434e-05,1.167809345391255,0.2449880796872121,2.306814843826495,1095.376587986946,4.516462686146056e-05,0.0268347994994695,-0.38983960784662924,0.6092876488256628,-0.6102232872430894,-2.0661675465777445,-1.3006201321008855,0.001,False,-0.45681700266236325
-86.79971444357687,14.709902926963847,299.267097815908,0.6835115359062622,1.0361901604847396e-05,0.8879474650413914,0.2092020533540501,1.1527471251016377,1133.408809363842,3.59463460074899e-05,0.0265562784180301,-0.8787589472541262,1.0444556589810285,-0.7221974344360583,-3.6695715660682957,-1.3244205243227865,0.001,False,-1.0241595253970828
